_id,School Name,Enrolled population,DTP coverage rate (%),DTP Religious exemption rate (%),MMR coverage rate (%),MMR Religious exemption rate (%),Lat,Lng
532,Regina Mundi C.S.,280,88.2,1.1,91.4,1.1,43.7098151,-79.45958643
533,Rene Gordon Health & Wellness Academy,161,95.0,1.2,94.4,1.2,43.7616437,-79.34038149999999
534,Richview C.I.,1035,84.8,2.6,96.8,2.6,43.67886863,-79.53891237
535,Rippleton P.S.,161,97.5,1.2,96.9,1.2,43.74090484,-79.36012047
536,Rivercrest Jr School,118,94.1,2.5,91.5,2.5,43.72971618,-79.56951774
537,Riverdale C.I.,1198,87.1,2.9,96.3,2.8,43.6700477,-79.33485982
538,Robert Service Sr P.S.,166,88.0,0.0,97.6,0.0,43.72902515,-79.25117818
539,Rockcliffe Middle School,296,88.9,2.4,95.3,2.4,43.67401618,-79.48843523
540,Rockford P.S.,430,93.7,1.6,94.2,1.6,43.78622535,-79.45230102
541,Roden P.S.,284,90.1,2.1,94.4,2.1,43.67387327,-79.32307649
542,Rolph Road Elementary,235,97.4,1.7,97.4,1.7,43.69978359,-79.36625140000001
543,Rose Avenue Jr P.S.,371,95.7,0.0,95.1,0.0,43.67016508,-79.3725055
544,Rosedale Heights School of The Arts,1045,80.9,8.2,89.6,8.2,43.67393966,-79.36601634
545,Rosedale Jr P.S.,151,98.7,0.0,98.7,0.0,43.67765573,-79.38168603
546,Roselands Jr P.S.,200,95.5,2.5,94.0,2.5,43.68122679,-79.499061
547,Rosethorn Jr School,258,94.6,5.0,93.8,5.0,43.65992057,-79.53948098
548,Rouge Valley P.S.,163,95.1,0.6,98.2,0.6,43.79938626,-79.15128739
549,Roywood P.S.,104,92.3,2.9,91.3,2.9,43.76472407,-79.32177318
550,Runnymede C.I.,522,85.4,1.7,96.7,1.7,43.66353227,-79.48981138
551,Runnymede Jr & Sr P.S.,707,95.5,1.1,97.9,1.3,43.655965,-79.477517
552,Ryerson Community School,309,81.9,1.9,85.1,1.9,43.65122054,-79.40263666
553,Sacred Heart C.S.,194,84.5,1.0,88.7,1.0,43.812184,-79.22014399999999
554,Samuel Hearne P.S.,372,87.9,0.5,90.3,0.5,43.69523843,-79.28367519
555,Santa Maria C.S.,161,90.1,0.0,91.3,0.0,43.68097329,-79.47768089
556,Satec at W A Porter C.I.,1181,88.0,0.3,96.4,0.3,43.71659346,-79.28726952
557,Scarborough Village P.S.,140,91.4,0.0,95.7,0.0,43.74411936,-79.22207179
558,School of Experiential Education,45,77.8,2.2,97.8,2.2,43.70163502,-79.54639098
559,School of Life Experience,28,92.9,0.0,96.4,0.0,43.67928073,-79.32277189
560,Second Street JMS,351,93.7,2.3,94.3,2.3,43.60366842,-79.49976626
561,Secord Elementary,327,93.0,2.4,93.9,2.4,43.6923789,-79.30183124
562,Seed Alternative,31,80.6,6.5,90.3,6.5,43.66207775,-79.34868633
563,Selwyn Elementary,163,95.7,3.1,96.3,3.1,43.70843965,-79.30632594
564,Senator O'Connor College,1321,85.5,1.3,94.7,1.3,43.75082727,-79.31736855
565,Seneca Hill P.S.,195,99.0,0.0,98.5,0.0,43.79087042,-79.35029699
566,Seneca School,56,91.1,3.6,94.6,3.6,43.65093395,-79.58254583
567,Seventh Street Jr School,118,94.9,3.4,95.8,3.4,43.59991069,-79.50463054
568,Shaughnessy P.S.,143,97.2,0.0,97.9,0.0,43.7703833,-79.35168206
569,Sheppard P.S.,99,98.0,1.0,94.9,1.0,43.74542436,-79.48826066
570,Shirley Street Jr P.S.,111,91.9,8.1,91.9,8.1,43.64852424,-79.43672217
571,Shoreham P.S.,146,90.4,1.4,91.1,1.4,43.76879954,-79.51738797
572,Silver Springs P.S.,250,96.4,0.0,96.0,0.0,43.80442951,-79.30237697
573,Silverthorn C.I.,834,82.0,2.4,95.2,2.4,43.63783591,-79.58038855
574,Silverthorn Community School,225,92.9,3.1,93.8,3.1,43.68724942,-79.46941511
575,Sir Adam Beck Jr School,244,94.3,4.1,94.7,4.1,43.60160187,-79.54816183
576,Sir Alexander Mackenzie Sr P.S.,396,89.9,1.3,97.5,1.3,43.70106136,-79.3710115
577,Sir Ernest Macmillan Sr P.S.,370,89.5,1.4,96.8,1.4,43.80687627,-79.3281933
578,Sir John A Macdonald C.I.,1094,85.7,1.5,95.4,1.3,43.78707736,-79.32367051
579,Sir Oliver Mowat C.I.,1048,86.5,2.0,97.1,2.0,43.77930193,-79.14223832
580,Sir Samuel B Steele Jr P.S.,234,97.0,0.9,97.0,0.9,43.80665071,-79.32744196
581,Sir Wilfrid Laurier C.I.,1319,87.2,1.1,97.3,1.1,43.7470335,-79.19699148
582,Sir William Osler H.S.,110,87.3,0.9,93.6,0.9,43.79756649,-79.28740133
583,Sloane P.S.,144,95.8,0.0,96.5,0.0,43.73121223,-79.31033966
584,Smithfield Middle School,631,93.5,0.3,98.1,0.3,43.75001113,-79.59575188
585,South East Year Round Alternative,27,92.6,0.0,100.0,0.0,43.72810107,-79.25668865
586,Spectrum Alternative Sr,60,88.3,8.3,91.7,8.3,43.69927642,-79.39489644
587,Sprucecourt Jr P.S.,194,92.8,1.0,96.9,1.0,43.66448601,-79.36382992
588,St Agatha C.S.,282,89.0,1.1,91.5,1.1,43.7236402,-79.22982087
589,St Agnes C.S.,241,81.3,2.1,81.3,2.1,43.79857548,-79.40260425
590,St Aidan C.S.,220,88.6,0.5,91.8,0.5,43.79737949,-79.30936652
591,St Albert C.S.,317,89.3,0.9,91.5,0.9,43.74360886,-79.26136635
592,St Alphonsus C.S.,165,84.2,1.2,86.7,1.2,43.68291369,-79.43220644
593,St Ambrose C.S.,258,85.7,3.9,88.4,3.9,43.6083701,-79.55012287
594,St Andre C.S.,419,86.2,0.0,88.1,0.0,43.72399451,-79.51763291
595,St Andrew C.S.,550,79.3,0.2,86.4,0.2,43.74493114,-79.58238178
596,St Andrews Middle School,393,93.1,2.3,94.9,2.3,43.75159735,-79.39032976
597,St Andrews P.S.,222,96.4,0.0,98.2,0.0,43.76664525,-79.25479628
598,St Angela C.S.,397,77.6,0.5,81.1,0.5,43.75338681,-79.59579099
599,St Anselm C.S.,269,89.2,2.6,91.1,2.6,43.70539439,-79.37159516
600,St Anthony C.S.,242,81.8,2.5,86.0,2.5,43.66370352,-79.43496884
601,St Antoine Daniel C.S.,297,81.5,0.3,82.8,0.3,43.77701083,-79.42984477
602,St Augustine C.S.,422,82.2,0.2,84.6,0.2,43.76823652,-79.52506429
603,St Barbara C.S.,265,84.9,1.1,84.5,1.1,43.76231218,-79.21875843
604,St Barnabas C.S.,207,94.2,1.4,93.2,1.4,43.79724122,-79.22851192
605,St Bartholomew C.S.,67,86.6,4.5,86.6,4.5,43.78960341,-79.27161837
606,St Bede C.S.,117,84.6,0.9,90.6,0.9,43.81797891,-79.2065477
607,St Benedict C.S.,436,86.5,0.9,89.4,0.7,43.72069467,-79.57201689
608,St Bernard C.S.,478,86.6,1.0,88.7,1.0,43.70250622,-79.50060787
609,St Bonaventure C.S.,435,90.8,1.1,93.1,1.1,43.73303235,-79.35625364
610,St Boniface C.S.,259,86.1,0.0,86.5,0.0,43.74092025,-79.21997302
611,St Brendan C.S.,409,90.2,0.5,94.4,0.5,43.78254695,-79.14925055
612,St Brigid C.S.,425,84.0,1.9,88.0,1.9,43.68694895,-79.31689929
613,St Bruno / St Raymond C.S.,158,80.4,5.7,84.8,5.1,43.67323995,-79.42706293
614,St Catherine C.S.,78,80.8,3.8,87.2,3.8,43.74233527,-79.32473908
615,St Cecilia C.S.,463,92.0,2.2,94.2,2.2,43.66142319,-79.47283128
616,St Charles C.S.,193,91.2,1.0,91.2,1.0,43.71328189,-79.45135069
617,St Charles Garnier C.S.,314,85.4,0.6,86.6,0.6,43.76259569,-79.51814172
618,St Clare C.S.,300,87.3,1.3,89.7,1.3,43.67941147,-79.44155159
619,St Clement C.S.,329,90.9,2.1,93.3,2.1,43.63224729,-79.57380819
620,St Columba C.S.,169,81.1,3.6,82.2,3.6,43.80619345,-79.21182741
621,St Conrad C.S.,426,89.9,0.7,90.6,0.7,43.73008526,-79.49345429
622,St Cyril C.S.,217,92.2,0.9,93.5,0.9,43.77705227,-79.41670118
623,St Demetrius C.S.,193,83.9,6.2,87.6,6.2,43.68465421,-79.52196594
624,St Denis C.S.,215,89.3,3.3,90.7,3.3,43.67299835,-79.28990762
625,St Dominic Savio C.S.,193,90.2,1.0,89.6,1.0,43.79828437,-79.15602387
626,St Dorothy C.S.,239,87.9,0.8,90.0,0.8,43.731492700000004,-79.59173973
627,St Dunstan C.S.,185,81.1,1.1,82.7,1.1,43.693429200000004,-79.2842392
628,St Edmund Campion C.S.,185,91.9,0.0,90.8,0.0,43.78803168,-79.21609072
629,St Edward C.S.,336,90.8,1.5,90.8,1.5,43.75395182,-79.41340608
630,St Elizabeth C.S.,167,79.6,2.4,86.2,2.4,43.6349427,-79.55745671
631,St Elizabeth Seton C.S.,116,89.7,1.7,94.0,1.7,43.78895124,-79.24670583
632,St Eugene C.S.,263,87.5,2.7,89.7,2.7,43.69260281,-79.53749174
633,St Fidelis C.S.,438,88.4,3.0,89.7,3.0,43.71728752,-79.48494849
634,St Florence C.S.,141,82.3,1.4,87.9,1.4,43.79691679,-79.20936572
635,St Francis De Sales C.S.,334,86.8,0.3,87.7,0.3,43.75413291,-79.51912451
636,St Francis of Assisi C.S.,123,87.8,4.1,93.5,4.1,43.65619987,-79.41462812
637,St Francis Xavier C.S.,372,85.2,0.5,87.6,0.5,43.71084951,-79.48340706
638,St Gabriel C.S.,227,76.7,1.3,78.0,1.3,43.769357899999996,-79.39134138
639,St Gabriel Lalemant C.S.,105,90.5,0.0,95.2,0.0,43.81270363,-79.22672748
640,St George's Jr,113,93.8,1.8,94.7,1.8,43.67260051,-79.54171219
641,St Gerald C.S.,212,83.0,0.9,83.0,0.9,43.78071327,-79.32637982
642,St Gregory C.S.,530,90.4,3.0,89.6,3.0,43.65963894,-79.54502121
643,St Helen C.S.,289,90.3,1.0,93.1,1.0,43.65208457,-79.43615633
644,St Henry C.S.,179,88.3,0.6,89.9,0.6,43.81364309,-79.32831621
645,St Ignatius of Loyola C.S.,91,87.9,5.5,89.0,5.5,43.80357849,-79.26541329
646,St Isaac Jogues C.S.,259,84.2,0.8,85.3,0.8,43.76232534,-79.32196017
647,St James C.S.,131,86.3,0.8,87.8,0.8,43.66467369,-79.49539788
648,St Jane Frances C.S.,517,87.8,0.4,89.7,0.4,43.74214816,-79.51316565
649,St Jean De Brebeuf C.S.,159,93.1,0.6,92.5,0.6,43.80251384,-79.17404098
650,St Jerome C.S.,372,84.4,0.3,88.7,0.3,43.7488344,-79.48854188
651,St Joachim C.S.,217,91.7,0.0,92.6,0.0,43.71282528,-79.27514407
652,St John Bosco C.S.,238,90.3,0.0,90.3,0.0,43.68871579,-79.45055774
653,St John C.S.,336,89.9,0.9,93.5,0.9,43.68022438,-79.29456867
654,St John The Evangelist C.S.,306,85.6,0.0,87.6,0.0,43.71886369,-79.51022704
655,St John Vianney C.S.,282,86.9,2.5,86.2,2.5,43.73797591,-79.55384621
656,St Josaphat C.S.,108,77.8,7.4,76.9,7.4,43.59929856,-79.50905953
657,St Joseph C.S.,151,94.0,0.7,93.4,0.7,43.66580807,-79.33189055
658,St Joseph's College,758,85.0,0.9,92.5,0.9,43.66443686,-79.38886466
659,St Josephs Morrow Park H.S.,459,81.3,0.4,88.5,0.4,43.79713693,-79.39208061
660,St Jude C.S.,542,86.5,0.0,91.0,0.0,43.74048448,-79.53925654
661,St Kevin C.S.,180,88.3,1.1,90.6,1.1,43.75070676,-79.30585727
662,St Lawrence C.S.,329,90.9,0.6,92.1,0.6,43.74930639,-79.27992084
663,St Leo C.S.,200,84.0,2.0,86.5,2.0,43.61427999,-79.49628845
664,St Louis C.S.,145,90.3,3.4,91.0,3.4,43.62574512,-79.50095538
665,St Luigi C.S.,99,84.8,0.0,84.8,0.0,43.66283136,-79.45241969
666,St Malachy C.S.,214,86.9,0.9,90.7,0.9,43.77102043,-79.16663443
667,St Marcellus C.S.,286,81.1,1.7,82.9,1.7,43.67979194,-79.55422495
668,St Margaret C.S.,474,87.8,0.4,85.0,0.4,43.72897291,-79.44135545
669,St Margaret's P.S.,199,89.4,2.0,93.5,2.0,43.76826718,-79.19594342
670,St Marguerite Bourgeoys C.S.,69,88.4,0.0,91.3,0.0,43.80910932,-79.28561349
671,St Maria Goretti C.S.,717,89.7,0.3,90.8,0.3,43.72983532,-79.26592211
672,St Mark C.S.,144,83.3,4.9,84.7,4.9,43.63449985,-79.49019751
673,St Martha C.S.,162,84.6,3.7,87.0,3.7,43.741068,-79.50232466
674,St Martin De Porres C.S.,302,82.8,0.0,87.4,0.0,43.76712859,-79.18682181
675,St Mary C.S.,219,87.7,1.4,90.0,1.4,43.64584381,-79.40463497
676,St Mary of The Angels C.S.,167,93.4,0.0,93.4,0.0,43.67211886,-79.44029271
677,St Mary's Catholic S.S.,650,76.9,0.8,87.8,0.8,43.6577936,-79.43215429
678,St Matthew C.S.,378,93.1,0.5,94.7,0.5,43.68067023,-79.46794288
679,St Matthias C.S.,202,81.2,2.0,83.2,2.0,43.78489022,-79.35945563
680,St Maurice C.S.,204,85.8,0.5,87.7,0.5,43.69781276,-79.55393287
681,St Michael C.S.,129,82.9,1.6,90.7,1.6,43.64786941,-79.36961971
682,St Michael's Choir Jr School,169,92.9,3.0,94.1,3.0,43.65544574,-79.37768726
683,St Michael's Choir Sr School,88,83.0,2.3,95.5,2.3,43.65544574,-79.37768726
684,St Monica C.S.,223,84.8,0.9,90.1,0.9,43.71015928,-79.3976277
685,St Nicholas C.S.,273,89.0,1.1,90.1,1.1,43.74764379,-79.23285549
686,St Nicholas of Bari C.S.,454,91.9,0.7,92.1,0.7,43.68282437,-79.4604932
687,St Norbert C.S.,243,88.1,1.6,88.5,1.6,43.73410029,-79.46450004
688,St Oscar Romero Catholic S.S.,627,84.1,0.2,93.9,0.2,43.68033288,-79.48079681
689,St Paschal Baylon C.S.,522,84.7,0.4,82.6,0.4,43.79220069,-79.43132189
690,St Patrick Catholic S.S.,728,83.8,0.8,90.4,0.8,43.67845032,-79.32800364
691,St Paul C.S.,123,83.7,0.0,83.7,0.0,43.65548894,-79.36173419
692,St Pius X C.S.,373,89.5,1.9,90.9,1.9,43.65127722,-79.48471334
693,St Raphael C.S.,367,86.1,1.1,89.4,1.1,43.72856134,-79.48848695
694,St Rene Goupil C.S.,95,57.9,0.0,57.9,0.0,43.81934836,-79.28830312
695,St Richard C.S.,302,89.1,0.7,92.4,0.7,43.76837294,-79.24028339
696,St Rita C.S.,66,83.3,1.5,90.9,1.5,43.66613477,-79.45644834
697,St Robert C.S.,441,89.6,0.5,87.5,0.5,43.74909669,-79.44772492
698,St Roch C.S.,253,88.9,0.0,92.9,0.0,43.75370797,-79.56674972
699,St Rose of Lima C.S.,325,89.5,0.3,88.6,0.3,43.75748239,-79.24055992
700,St Sebastian C.S.,152,92.8,3.3,94.1,3.3,43.66276615,-79.43992647
701,St Simon C.S.,384,88.5,0.5,90.4,0.5,43.71890861,-79.53298735
702,St Stephen C.S.,294,88.8,0.3,88.1,0.3,43.7222273,-79.55211379
703,St Sylvester C.S.,130,88.5,2.3,90.0,2.3,43.80442951,-79.30237697
704,St Teresa C.S.,182,81.9,1.1,87.4,1.1,43.59929856,-79.50905953
705,St Theresa Shrine C.S.,157,94.3,0.0,94.9,0.0,43.71563786,-79.24247559
706,St Thomas Aquinas C.S.,401,84.8,0.0,88.8,0.0,43.69588971,-79.44574378
707,St Thomas More C.S.,235,86.4,0.4,88.9,0.4,43.77870333,-79.22545490000002
708,St Timothy C.S.,456,88.8,1.1,88.8,1.1,43.77515317,-79.35136251
709,St Ursula C.S.,184,92.9,0.5,93.5,0.5,43.75082107,-79.19998668
710,St Victor C.S.,235,89.8,0.4,93.2,0.4,43.76905716,-79.25910537
711,St Vincent de Paul C.S.,244,89.8,2.9,89.8,2.9,43.64682927,-79.44792302
712,St Wilfrid C.S.,472,80.5,0.4,83.5,0.4,43.75991688,-79.50255431
713,St. Basil The Great College,1258,86.2,0.7,95.1,0.7,43.72716809,-79.53345069
714,St. John Paul II Catholic S.S.,1276,86.8,0.5,97.2,0.5,43.78911549,-79.19711697
715,St. John XXIII C.S.,305,80.7,0.7,78.4,0.7,43.71245397,-79.32984789
716,St. Kateri Tekakwitha C.S.,213,78.9,2.3,78.4,2.3,43.78581971,-79.33805159
717,St. Mother Teresa Catholic Academy,413,83.5,1.5,90.1,1.5,43.80724295,-79.21778942
718,Stanley P.S.,209,94.7,1.4,95.2,1.4,43.74183118,-79.51782704
719,Steelesview P.S.,200,98.5,1.0,97.5,1.0,43.80266609,-79.38563286
720,Stella Maris C.S.,263,91.6,0.8,92.8,0.8,43.67969136,-79.44452074
721,Stephen Leacock C.I.,511,82.2,0.6,93.2,0.6,43.78520343,-79.30085689
722,Stilecroft P.S.,138,96.4,0.7,94.2,0.7,43.75105582,-79.4932051
723,Sts Cosmas and Damian C.S.,261,87.7,0.8,87.7,0.8,43.70659006,-79.44556836
724,Subway Academy I,21,71.4,9.5,81.0,9.5,43.67914023,-79.33663606
725,Subway Academy II,19,78.9,0.0,78.9,0.0,43.65576524,-79.3957051
726,Summit Heights P.S.,274,97.4,2.6,96.7,2.6,43.74132177,-79.43003694
727,Sunny View Jr & Sr P.S.,67,83.6,3.0,86.6,3.0,43.71984376,-79.38733761
728,Sunnylea Jr School,178,96.6,2.8,96.6,2.8,43.64244399,-79.50687324
729,Swansea Jr & Sr P.S.,642,94.4,3.3,96.0,3.3,43.64345739,-79.47708504
730,Tam O'Shanter Jr P.S.,202,97.0,0.5,95.5,0.5,43.78507164,-79.29766169
731,Taylor Creek P.S.,275,96.4,0.4,98.5,0.4,43.70003776,-79.27728774
732,Tecumseh Senior P.S.,263,88.6,0.8,96.2,0.8,43.76365832,-79.21697024
733,Terraview-Willowfield P.S.,202,93.1,3.5,93.6,3.5,43.76378291,-79.30857274
734,Terry Fox P.S.,282,96.8,0.0,98.9,0.0,43.81589936,-79.3186863
735,The Divine Infant C.S.,82,87.8,1.2,90.2,1.2,43.8218115,-79.27033145
736,The Elms JMS,287,93.0,1.7,94.8,1.7,43.7222273,-79.55211379
737,The Grove Community School,76,80.3,19.7,80.3,19.7,43.64602125,-79.42884725
738,The Holy Trinity C.S.,317,82.0,2.2,84.2,2.2,43.59514135,-79.51653877
739,The Student School,22,77.3,4.5,95.5,4.5,43.6570501,-79.47413781
740,The Waterfront School,142,94.4,4.9,92.3,4.9,43.63574882,-79.39718759
741,Thistletown C.I.,441,82.8,1.4,97.1,0.9,43.72772656,-79.56245265
742,Thomas L Wells P.S.,396,96.2,0.0,99.2,0.0,43.8243707,-79.22597900000001
743,Thorncliffe Park P.S.,1108,95.8,0.3,96.0,0.3,43.70539004,-79.34343676
744,Three Valleys P.S.,173,95.4,2.3,95.4,2.3,43.75081287,-79.33762032
745,Timberbank Jr P.S.,152,98.0,0.7,94.7,0.7,43.79147126,-79.30728539
746,Tom Longboat Jr P.S.,178,96.6,1.7,93.8,1.7,43.81044617,-79.23162697
747,Topcliff P.S.,210,96.7,0.0,98.6,0.0,43.75568467,-79.51065816
748,Transfiguration of Our Lord C.S.,320,87.2,1.9,91.3,1.9,43.69152126,-79.56287073
749,Tredway Woodsworth P.S.,587,94.0,1.4,95.9,1.2,43.76492505,-79.23510926
750,Tumpane P.S.,232,94.4,1.7,95.3,1.7,43.72659528,-79.5022551
751,Twentieth Street Jr School,94,89.4,5.3,90.4,5.3,43.59797715,-79.51993824
752,Ursula Franklin Academy,521,83.7,3.8,95.2,3.8,43.65651377,-79.47442738
753,Valley Park Middle School,964,90.2,0.4,91.2,0.4,43.71044059,-79.33587052
754,Valleyfield Jr School,208,89.4,1.9,91.3,1.9,43.69421576,-79.53821993
755,Venerable John Merlini C.S.,210,88.1,1.0,93.8,1.0,43.75648059,-79.57938356
756,Victoria Park C.I.,1173,86.9,0.9,96.2,0.9,43.75605934,-79.32146442
757,Victoria Park Elementary,92,98.9,0.0,100.0,0.0,43.71268918,-79.29815076
758,Victoria Village P.S.,132,89.4,4.5,90.2,4.5,43.73595942,-79.31418208
759,Vradenburg Jr P.S.,145,98.6,0.0,98.6,0.0,43.77434227,-79.3082863
760,Walter Perry Jr P.S.,189,89.9,1.6,93.1,1.6,43.73345613,-79.25124569
761,Warren Park Jr P.S.,111,87.4,6.3,87.4,6.3,43.66284277,-79.49943751
762,Wedgewood Jr School,240,96.3,1.3,98.3,1.3,43.64531695,-79.54625291
763,Wellesworth Jr School,96,87.5,3.1,88.5,3.1,43.65663735,-79.57671875
764,West End Alternative,49,81.6,8.2,89.8,8.2,43.66242998,-79.41983402
765,West Glen Jr School,98,93.9,5.1,89.8,4.1,43.65083041,-79.56028182
766,West Hill C.I.,631,83.8,1.4,95.7,1.4,43.77566843,-79.19058757
767,West Hill P.S.,150,90.7,2.7,90.0,2.7,43.77267961,-79.18688444
768,West Humber C.I.,1016,85.2,0.9,96.1,0.9,43.7309224,-79.58670539
769,West Humber JMS,341,94.1,0.3,93.5,0.3,43.72382622,-79.58007455
770,West Preparatory Jr P.S.,341,94.1,3.5,94.1,3.5,43.70274372,-79.43303504
771,West Rouge Jr P.S.,199,91.5,5.5,91.5,5.5,43.79561842,-79.13371592
772,Western Technical & Commercial School,975,80.3,3.8,93.7,3.7,43.65709149,-79.47458151
773,Westmount Jr School,123,89.4,2.4,93.5,2.4,43.68909613,-79.5196593
774,Weston C.I.,894,84.2,1.3,95.3,1.2,43.70381631,-79.50942175
775,Weston Memorial Jr P.S.,157,97.5,1.3,98.1,1.3,43.70597815,-79.50932994
776,Westview Centennial S.S.,763,81.3,0.7,93.8,0.7,43.75239763,-79.52509053
777,Westway Jr School,122,94.3,1.6,95.9,1.6,43.69082212,-79.54899331
778,Westwood Middle School,373,90.3,2.9,95.2,2.9,43.686693299999995,-79.35069605
779,Wexford Collegiate School for The Arts,1084,84.0,2.1,96.5,2.0,43.74615957,-79.30679538
780,Wexford P.S.,250,91.2,1.6,92.0,1.6,43.74019034,-79.30372732
781,White Haven Jr P.S.,350,94.9,1.1,96.0,1.1,43.78699541,-79.24805090000001
782,Whitney Jr P.S.,161,95.7,2.5,95.7,2.5,43.68716034,-79.37839727
783,Wilkinson Jr P.S.,316,97.8,1.6,96.8,1.6,43.68204163,-79.33748324
784,William Burgess Elementary,202,91.1,3.0,91.1,3.0,43.69192773,-79.34815772
785,William G Davis Jr P.S.,170,98.8,0.0,95.9,0.0,43.78504643,-79.13447437
786,William G Miller Jr P.S.,373,93.8,3.5,96.0,3.5,43.76851356,-79.16503401
787,William J McCordic School,52,46.2,3.8,84.6,3.8,43.69063184,-79.29898334
788,William Lyon Mackenzie C.I.,1377,84.9,2.5,94.6,2.5,43.75347096,-79.46189416
789,Williamson Road Jr P.S.,356,97.2,2.0,96.9,2.0,43.67451106,-79.2974698
790,Willow Park Jr P.S.,216,97.2,0.0,99.1,0.0,43.7611981,-79.20957854
791,Willowdale Middle School,542,92.6,2.2,94.6,2.2,43.76977522,-79.42608898
792,Wilmington Elementary,101,92.1,0.0,90.1,0.0,43.768501799999996,-79.46071631
793,Winchester Jr & Sr P.S.,343,91.3,3.2,93.3,3.2,43.6665481,-79.37110718
794,Windfields Middle School,661,91.8,2.9,95.2,2.7,43.75622535,-79.37098613
795,Winona Drive Senior P.S.,414,87.4,5.1,94.2,5.1,43.67807637,-79.43106195
796,Winston Churchill C.I.,517,87.0,1.5,96.5,1.5,43.74789747,-79.27814694
797,Withrow Avenue Jr P.S.,366,96.2,2.5,95.6,2.5,43.67046046,-79.35212966
798,Woburn C.I.,877,88.6,0.2,98.5,0.2,43.77816511,-79.22845859
799,Woburn Jr P.S.,225,98.7,0.0,98.7,0.0,43.779502799999996,-79.22700166
800,Woodbine Jr H.S.,347,89.6,1.4,90.2,1.4,43.7842923,-79.35049619
801,York Humber H.S.,122,86.9,4.1,93.4,4.1,43.6885692,-79.50617746
802,York Memorial C.I.,876,86.8,2.5,96.3,2.5,43.69027872,-79.47623979999999
803,York Mills C.I.,1200,86.3,1.3,97.2,1.3,43.75152905,-79.37352390000001
804,Yorkview P.S.,256,93.8,2.3,93.0,2.3,43.77257361,-79.43556642
805,Yorkwoods P.S.,224,88.4,0.9,91.5,0.9,43.75065984,-79.51388475
806,Zion Heights Jr H.S.,592,94.4,1.0,96.5,1.0,43.797914899999995,-79.37109724
